Judul,Tanggal,Url,Artikel,Category
"Geger Wanita Punya 19 Anak dari Pria Berbeda, Pakar Seks Soroti Hal Ini","Minggu, 03 Mar 2024 21:00 WIB",https://health.detik.com/berita-detikhealth/d-7223384/geger-wanita-punya-19-anak-dari-pria-berbeda-pakar-seks-soroti-hal-ini,"Belakangan netizen dibuat heboh pengakuan wanita yang memiliki 19 anak dan kini tengah mengandung anak ke-20. Wanita bernama Martha dari Medellin, Kolombia, itu bahkan masih terus merencanakan kehamilan di masa mendatang. Dirinya mengaku tidak akan berhenti hamil sebelum tubuhnya tidak lagi mampu mengandung. Martha mengaku seluruh anaknya berasal dari pria yang berbeda. Ada 17 anak Martha yang masih berusia di bawah usia 18 tahun. Martha mengaku mendapat bantuan pembiayaan dari pemerintah meskipun jumlahnya relatif kurang. SCROLL TO CONTINUE WITH CONTENT ""Memiliki lebih banyak anak ini 'menguntungkan',"" terang dia dalam Daily Star, dikutip Minggu (3/3/2024). ""Sebenarnya, ketika pemerintah membantu saya untuk setiap anak, saya menerima sedikit uang untuk setiap anak,"" jelas wanita 39 tahun tersebut. Adakah Risikonya? Pakar seks dr Boyke Dian Nugraha menjelaskan hal ini tentu berisiko secara medis. Ada kemungkinan yang bersangkutan mengalami perdarahan post partum. ""Ada pastinya risikonya, bisa meningkatkan terjadi perdarahan post partum perdarahan,"" tutur dr Boyke saat dihubungi detikcom Minggu (3/3). Kondisi ini terjadi akibat rahim tidak berkontraksi dengan baik, serta plasenta previa atau ari-ari menghalangi jalan lahir. Secara umum, perdarahan postpartum dapat diketahui dari terjadinya berbagai gejala seperti: Denyut jantung dan tekanan darah pengidap penyakit ini akan diawasi untuk melihat adanya shock. Jika perdarahan postpartum dini terjadi, dokter akan merasakan perut bawah untuk melihat apakah rahim berkontraksi. Jika rahim terlihat berkontraksi tetapi perdarahan berlanjut, serviks dan vagina akan diperiksa. Hal ini dilakukan di bawah pengaruh anestesi umum atau anestesi epidural. Martha bukan satu-satunya wanita yang memiliki anak lebih dari 10 kemudian menjadi sorotan banyak orang. Tahun lalu, seorang ibu tunggal dengan 13 anak menjadi viral setelah mengungkapkan bahwa dia membutuhkan bantuan untuk membeli rumah bagi anak-anaknya. Veronica Merritt bosan dengan 'rumah kecil jelek' yang terpaksa dihuni oleh keluarganya, tetapi tidak mampu membeli tempat yang lebih besar karena hanya berpenghasilan tunggal. ",Health
"Dokter Minim-Kasus Tinggi, Ini Tantangan Anak Penderita Kanker di RI","Minggu, 03 Mar 2024 20:25 WIB",https://health.detik.com/berita-detikhealth/d-7223343/dokter-minim-kasus-tinggi-ini-tantangan-anak-penderita-kanker-di-ri,"Angka penderita kanker anak di Indonesia cukup memprihatinkan, bahkan disebut-sebut sebagai yang terbanyak di Asia Tenggara berdasarkan data World Health Organization (WHO). Padahal, anak-anak penderita kanker di Tanah Air masih memiliki tantangan tersendiri lantaran minimnya jumlah dokter ahli kanker anak di Indonesia. Dilansir dari laman Kementerian Kesehatan, data Globocan tahun 2020 menunjukkan jumlah penderita kanker pada anak (0-19 tahun) mencapai 11.156. Namun, berdasarkan data Indonesian Pediatric Center Registry, terdapat peningkatan kasus baru kanker anak mencapai 3.834 di sepanjang tahun 2021-2022. Data WHO pada 2021 menyebutkan kanker anak yang dapat disembuhkan di Indonesia hanya kurang dari 30% kasus. Ada berbagai alasan yang melatarbelakangi hal ini, seperti keterlambatan diagnosis akibat tidak mengenali gejala dini kanker anak sehingga pengobatan yang dijalankan tidak optimal dan angka kematiannya tinggi. SCROLL TO CONTINUE WITH CONTENT Ketua Yayasan Kasih Anak Kanker Indonesia (YKAKI) Ira Soelistyo pun mengungkapkan salah satu masalah krusial yang harus dihadapi penderita kanker anak terkait minimnya jumlah dokter. Dalam sebuah acara yang digelar untuk memperingati Hari Kanker Anak di kawasan Gandaria City, ia mengatakan hingga saat ini hanya ada 90 dokter ahli kanker anak di seluruh Indonesia yang mayoritasnya hanya berpraktik di kota-kota besar. ""Itu terus terakumulasikan. Ke mana mereka berobat, jadi banyak sekali yang di pelosok-pelosok yang meninggal begitu aja, tanpa mungkin mereka tahu sakit apa. Itulah yang ingin kita suarakan,"" ungkap Ira di acara #BeraniGundul 2024 untuk kepedulian kanker anak di Jakarta Selatan, Minggu (3/3/2024). Risiko Paparan BPA Bisa Tingkatkan Kasus Kanker Anak di Indonesia Dikutip dari dataindonesia.id, diperkirakan angka penderita kanker anak di Indonesia menjadi yang tertinggi dibandingkan negara lainnya di Asia Tenggara. Adapun Filipina berada di posisi kedua dengan 3.507 anak penderita kanker pada 2020. Sedangkan Vietnam di angka 2.806 kasus dan Thailand di 1.437 kasus. Ada berbagai hal yang dapat memicu risiko kanker ini. Salah satunya yang santer dibicarakan dalam beberapa tahun terakhir ialah paparan senyawa Bisphenol A (BPA) pada kemasan makanan atau minuman yang berisiko memicu kanker, termasuk pada anak-anak. Sebagaimana diketahui, senyawa BPA banyak digunakan dalam pembuatan plastik. Dilansir dari jurnal National Library of Medicine berjudul 'A Comprehensive Review on The Carcinogenic Potential of Bisphenol A: Clues and Evidence', paparan BPA berdampak signifikan pada pertumbuhan, kelangsungan hidup, proliferasi, invasi, hingga migrasi berbagai jenis sel dalam tubuh, tak terkecuali sel kanker. Tak hanya itu, paparan BPA juga dapat memfasilitasi resistensi kemoterapi terhadap obat antikanker. Meski dibutuhkan penelitian lebih lanjut, namun tak sedikit penelitian yang menunjukan potensi paparan BPA dalam karsinogenesis atau proses pembentukan sel kanker. Oleh karena itu, dibutuhkan penelitian yang lebih komprehensif untuk terus mengungkap pengaruh BPA pada tingkat molekuler di berbagai jenis kanker. Kendati demikian, kesadaran untuk mengurangi bahkan menghindari paparan BPA sangatlah penting. Salah satunya demi menghindari berbagai risiko penyakit yang disebabkannya, termasuk juga menekan tingginya angka penderita kanker terutama pada anak di Indonesia. ",Health
"Obesitas Hantui RI, Kemenkes Minta Rencana Cukai Minuman Manis Dipercepat","Minggu, 03 Mar 2024 17:00 WIB",https://health.detik.com/berita-detikhealth/d-7223075/obesitas-hantui-ri-kemenkes-minta-rencana-cukai-minuman-manis-dipercepat,"Kementerian Kesehatan RI (Kemenkes) menyambut baik rencana penetapan cukai minuman berpemanis dalam kemasan (MBDK). Hal ini salah satunya untuk menekan angka obesitas di Tanah Air. ""Kami berharap bahwa cukai MBDK ini bisa segera diterapkan. Karena sebagaimana disampaikan bahwa lingkungan mendukung,"" kata Ketua Tim Kerja Diabetes Melitus dan Gangguan Metabolik, Direktorat Pencegahan dan Pengendalian Penyakit Tidak Menular (P2PTM) Kemenkes dr Esti Widiastuti M saat ditemui detikcom di Jakarta Selatan, Jumat (1/3/2024). Esti mengatakan pihaknya sebelumnya telah mengeluarkan kebijakan untuk mengatur pembatasan gula garam dan lemak di Permenkes No 30 tahun 2013. Namun pengaplikasiannya terlebih terkait dengan pemberian label informasi masih belum terlaksana secara maksimal. SCROLL TO CONTINUE WITH CONTENT ""Kalau misalkan semua diterapkan, ada cukai MBDK, tentunya produsen dan industri diharapkan menyediakan makanan dan minuman siap saji itu lebih sesuai ya kandungan GGL nya,"" ujarnya. Kasus obesitas di Indonesia juga dilaporkan semakin marak terjadi pada usia muda, bahkan anak-anak. Meski kelompok terbanyak yang mengidap obesitas adalah di 40 tahunan, sudah banyak generasi muda yang mulai mengalami kondisi ini. ",Health
"7 Gejala Diabetes yang Bisa Muncul di Kulit, Termasuk Ketiak Menghitam","Minggu, 03 Mar 2024 15:26 WIB",https://health.detik.com/berita-detikhealth/d-7222969/7-gejala-diabetes-yang-bisa-muncul-di-kulit-termasuk-ketiak-menghitam,"Gejala diabetes kerap tidak disadari sehingga membuat penanganannya menjadi terlambat. Bahkan, gejala diabetes yang muncul di kulit pun sering dianggap sebagai kondisi yang biasa saja sehingga terabaikan. Padahal, diabetes yang tidak ditangani sesegera mungkin dapat memicu terjadinya komplikasi serius pada sejumlah organ tubuh, mulai dari mata, ginjal, saraf, hingga jantung. Karena itu, penting untuk mengetahui gejala diabetes untuk mencegah komplikasi yang dapat mengancam nyawa. Lantas, seperti apa saja gejala diabetes yang muncul di kulit? Dikutip dari American Academy of Dermatology Association, berikut pembahasannya. SCROLL TO CONTINUE WITH CONTENT Bintik pada tulang kering merupakan salah satu gejala yang umum dialami pengidap diabetes. Dalam dunia medis, kondisi ini dikenal juga dengan sebutan dermapati diabetik. Biasanya, bintik-bintik tersebut berbentuk lingkaran atau oval, dan memiliki warna coklat hingga merah kecoklatan. Pada awalnya, bintik-bintik tersebut sering terasa bersisik Diabetes juga dapat memicu gejala bercak hitam pada lipatan tubuh, seperti leher, ketiak, atau selangkangan. Kondisi ini disebabkan oleh jumlah insulin dalam darah yang terlalu tinggi. Dalam dunia medis, kondisi ini disebut juga dengan acanthosis nigricans. Pengidap diabetes juga dapat mengalami gejala berupa penebalan dan pengerasan kulit, meskipun diabetesnya terkontrol dengan baik. Kondisi ini dikenal dengan sebutan scleredema diabetesorum. Biasanya, penebalan dan pengerasan terjadi pada kulit di punggung atas. Kulit menebal dan mengencang secara perlahan dalam kurun waktu bulan hingga tahun. Kondisi ini juga bisa terjadi di leher, bahu, atau bagian tubuh lain, tapi tidak pernah di tangan ataupun kaki. Diabetes yang tidak terkontrol dengan baik dapat menyebabkan trigliserida dalam tubuh meningkat. Akibatnya, kulit dapat mengalami benjolan yang disebut dengan xanthomatosis eruptive. Umumnya, benjolan akan memiliki warna kekuningan yang lebih terang daripada warna kulit. Pada orang berkulit gelap, benjolan akan berwarna keabu-abuan dan kuning. Benjolan biasanya muncul di pantat, paha, siku, dan lutut. Benjolan tersebut terkadang juga bisa terasa nyeri dan gatal. Kadar gula darah tinggi yang terjadi terus menerus dapat menyebabkan gangguan pada sirkulasi darah dan kerusakan saraf. Dua hal tersebut dapat memengaruhi kemampuan tubuh untuk menyembuhkan luka. Alhasil, luka pada kulit bisa membutuhkan waktu yang sangat lama untuk bisa pulih seperti semula. Selain itu, kadar gula darah yang terlalu tinggi dapat memicu luka terbuka pada kaki, atau yang disebut juga dengan ulkus diabetikum. Diabetes yang tidak terkontrol dapat membuat kadar lemak dalam darah meningkat. Kadar lemak yang tinggi dalam darah dapat memicu gejala berupa bercak atau benjolan pada mata yang disebut dengan xanthelasma. Terlepas dari warna kulit pengidapnya, bercak atau benjolan xanthelasma memiliki warna kuning atau oranye kekuningan. Kutil atau skin tag adalah jaringan lunak tidak berbahaya yang dapat tumbuh di kulit tubuh manapun. Terkadang, kutil dapat menempel erat pada kulit atau tumbuh menonjol. Meski kutil dapat muncul di mana saja, umumnya paling sering terjadi di kelopak mata, leher, ketiak, dan selangkangan. ",Health
"Kisah Haru Pengidap Limfoma Stadium 4 asal Jabar, Tetap Semangat Lanjutkan Sekolah","Minggu, 03 Mar 2024 14:25 WIB",https://health.detik.com/true-story/d-7222894/kisah-haru-pengidap-limfoma-stadium-4-asal-jabar-tetap-semangat-lanjutkan-sekolah,"Rini Anggraini (36) asal Kuningan, Jawa Barat menceritakan bagaimana kisah anaknya mengidap kanker kelenjar getah bening atau limfoma non-hodgkin stadium empat. Ia menceritakan bahwa putrinya, Virda Septiani (13), didiagnosis kanker pada September 2022. Pada saat itu, Rini mengaku sangat terkejut. Ia berkata bahwa semenjak lahir, Virda tidak menunjukkan tanda-tanda sakit, apalagi penyakit penyakit kanker. ""Perasaannya pertama kali waktu didagnosis stres kayak orang gila saja. Karena nggak nyangka aja, kalau Virda bakal mengalami ini kanker,"" ucap Rini ketika ditemui detikcom di acara #BeraniGundul oleh Yayasan Kasih Kanker Anak Indonesia (YKAKI) di Jakara Selatan, Minggu (3/3/2024). SCROLL TO CONTINUE WITH CONTENT ""Soalnya dari bayi sampai Virda 12 tahun itu nggak ada tanda-tanda menuju kanker. Dia sehat dan jarang sakit,"" sambungnya. Rini menceritakan bahwa gejala awal yang dialami oleh Virda adalah sesak napas dan muncul benjolan di bagian leher. Karena kondisi tersebut, Virda dibawa ke rumah sakit untuk pemeriksaan. Virda juga sempat dirujuk ke RS Ciptomangunkusumo (RSCM) untuk melakukan serangkaian pemeriksaan seperti biopsi hingga CT scan thorax. Pada saat itu, Virda akhirnya didiagnosis mengidap limfoma non-hodgkin. Rini menuturkan bahwa dokter menyebut kemungkinan penyebab Virda mengalami limfoma adalah karena genetik. Selain mengalami gejala sesak napas dan muncul benjolan di leher, Virda juga sempat tidak bisa berjalan selama enam bulan pasca diagnosis. ""Jadi dulu virda sampai sempat nggak bisa jalan sampai enam bulan. Dari awal diagnosis, masuk protokol pertama 2 bulanan, abis itu nggak bisa jalan. Pengobatan kemoterapi, terapi latihan jalan juga. Terus 6 bulan alhamdulillah bisa jalan,"" ujarnya. Rini menambahkan, Virda juga sempat harus putus sekolah di jenjang SMP kelas satu. Hal ini diakibatkan oleh perawatan yang harus dilakukan Virda sehingga tidak bisa memenuhi aturan kehadiran pelajaran sekolah. NEXT: Tetap semangat belajar ",Health
Viral Wanita Terpaksa Menopause Dini di Umur 22 Tahun Imbas Kanker Payudara,"Minggu, 03 Mar 2024 14:02 WIB",https://health.detik.com/berita-detikhealth/d-7222852/viral-wanita-terpaksa-menopause-dini-di-umur-22-tahun-imbas-kanker-payudara,"Aktris asal Amerika Serikat, Miranda McKeon, baru menginjak usia 22 tahun pada tahun ini. Namun di usia yang masih terbilang sangat muda, McKeon mengalami apa yang tidak dirasakan oleh wanita seusianya. Pemeran Josie Pye dalam serial 'Anne with an E' itu mengaku masih mencoba menerima fakta kalau tubuhnya sudah memasuki masa menopause. Hal itu disebabkan oleh terapi hormon yang dilakukan untuk melawan sel-sel kanker yang tumbuh di payudaranya. Dikutip dari People, McKeon mengungkapkan dirinya didiagnosis mengidap kanker payudara saat masih berusia 19 tahun. Waktu itu, dia menemukan benjolan di payudaranya. Untuk meredakan kekhawatiran, McKeon kemudian mencari beberapa penelitian online yang membuktikan bahwa kanker tidak mungkin terjadi pada usia muda. SCROLL TO CONTINUE WITH CONTENT Pada akhirnya, McKeon memutuskan untuk memeriksakan diri ke dokter demi mendapat jawaban yang pasti. Setelah melakukan USG dan biopsi, McKeon benar-benar divonis mengidap kanker payudara. Setelah menerima diagnosis tersebut, McKeon sempat membekukan sel telur sebelum menjalani kemoterapi. Selain itu, dia juga harus menerima suntikan lupron setiap bulan untuk mencegah sel kankernya kembali tumbuh. Dikutip dari Breastcancer.org, lupron adalah medikasi yang umumnya digunakan untuk mencegah sel kanker kembali muncul pasca menjalani operasi dan pengobatan. Obat ini bekerja dengan cara mengurangi kadar hormon estrogen dan progesteron yang diyakini mendukung perkembangan sel kanker. Penurunan hormon tersebut membuat tubuh McKeon memasuki fase menopause lebih dini. Salah satu gejala yang dia rasakan saat memasuki menopause dini adalah hot flashes, yakni gejala panas disertai kemerahan pada kulit, seperti wajah, leher, dan dada. ""Lihat betapa merahnya wajah saya. Saya baru saja duduk dan merasakan hot flashes yang parah,"" ujarnya dalam video yang diunggah di media sosial. Bahkan, McKeon mengalami masa menopause bersamaan dengan sang ibu. ""Saya ingat pengalaman pertama saya mengalami hot flashes dan membicarakannya dengan ibu saya. Kami tertawa melihat betapa konyolnya kami berdua mengalami menopause di saat yang sama,"" kata McKeon. ",Health
Mau Tahu Rasanya Lari di 'Planet' Lain? Intip Serunya Bekasi Marathon 2024,"Minggu, 03 Mar 2024 13:29 WIB",https://health.detik.com/kebugaran/d-7222830/mau-tahu-rasanya-lari-di-planet-lain-intip-serunya-bekasi-marathon-2024,"Sekitar 1.600 pelari meramaikan Bekasi Marathon 2024 di Kota Harapan Indah, Minggu (3/3/2024). Acara ini bukan hanya sekadar olahraga, tetapi juga momen kebersamaan yang dimeriahkan dengan berbagai ajang perlombaan. Kategori perlombaan yang tersedia bervariasi, mulai dari 5K, 10K, half marathon (HM) 21K, hingga full marathon (FM) 42K. Ketua penyelenggara Bekasi Marathon 2024, Dicky AFS, dari Komunitas CEO Runners mengungkapkan para peserta datang dari berbagai daerah, termasuk Bandung, Jakarta, Kalimantan, Nusa Tenggara Timur, Bali, Jawa Timur, dan banyak daerah lain. SCROLL TO CONTINUE WITH CONTENT ""Kita sebagai Komunitas CEO Runners menginisiasi acara marathon, acara lari bergengsi yang ada di Bekasi, dan ini tahun ketiga. Jadi kita mengajak seluruh masyarakat Indonesia untuk ke Bekasi, dari daerah manapun,"" ungkap Dicky, saat ditemui detikcom di Bekasi, Minggu (3/3/2024). Kategori 5K menjadi kategori dengan peserta terbanyak yaitu sekitar 800 peserta, diikuti kategori 10K sekitar 500 peserta, kategori HM sekitar 300, dan FM sekitar 100 peserta. Selain banyaknya peserta, rute yang dipilih juga menjadi hal menarik bagi para peserta lari. ""Kesan saya di Bekasi Marathon bagus, dari persiapan panitia, terus dari refreshment dan segala macem bagus banget, dari rute yang dipilih juga nyaman, saya kan juga pertama kali ikut event 21K (half marathon) dan ini nggak ngecewain saya,"" kata Agung (27), salah satu peserta kategori HM saat ditemui detikcom dalam wawancara di Bekasi Marathon 2024, Kota Harapan Indah, Minggu (3/3/2024). Sebagaimana race pada umumnya, cerita-cerita penuh drama juga mewarnai Bekasi Marathon 2024. Seperti dialami Ambar Fauzi (28), peserta kategori FM 42K yang mengaku sempat nyasar dari rute yang ditentukan. ""Tadi sempat mau posisi 2, cuma nyasar satu kilo setengah gara-gara saya nggak fokus,"" sesalnya. ""Nah ketika nyasar mempengaruhi mental sama fisik, udah mau nyerah karena kram juga, pengen naik ambulan, tapi inget pas latihan, inget support temen-temen, alhamdulilah finish, ini juga marathon pertama,"" tuturnya. Meskipun menghadapi tantangan, Ambar sangat senang atas pengalaman pertamanya lari marathon kategori 42K. Ambar berharap ke depannya ada perbaikan dalam petunjuk arah untuk meningkatkan pengalaman peserta di masa mendatang, juga disediakan penjaga di setiap tikungan supaya memudahkan pelari dalam menemukan rute lari yang tepat seperti di luar negeri. Acara yang berlangsung meriah tersebut mendapatkan banyak dukungan mulai dari komunitas lari lokal, klub olahraga, serta pendukung yang turut menghadirkan semangat positif dengan memberikan dukungan kepada peserta. Bahkan, tidak jarang peserta sudah mempersiapkan diri dua hingga tiga bulan sebelum mengikuti Bekasi Marathon 2024. Dicky berharap bahwa Bekasi Marathon dapat mendorong masyarakat untuk aktif berolahraga demi kesehatan yang lebih baik, menjalani gaya hidup yang lebih bugar melalui olahraga lari. ",Health
Antusiasme Warga Ikut Aksi #BeraniGundul Demi Kepedulian Kanker Anak,"Minggu, 03 Mar 2024 13:01 WIB",https://health.detik.com/berita-detikhealth/d-7222791/antusiasme-warga-ikut-aksi-beranigundul-demi-kepedulian-kanker-anak,"Yayasan Kasih Kanker Anak Indonesia (YKAKI) kembali menggelar aksi #BeraniGundul dalam rangka meningkatkan kepedulian terkait kanker anak Indonesia. Peserta yang turut berdonasi dan ikut dalam aksi #BeraniGundul nampak antusias dalam mengukuti prosesi potong rambut bersama tersebut. Ketua YKAKI Ira Soelistyo menuturkan bahwa aksi #BeraniGundul yang diselenggarakan sangat penting untuk meningkatkan awareness dan kepedulian terkait kanker anak. Ia berharap acara ini bisa 'membuka mata' masyarakat terkait penyakit kanker anak. ""Ini juga untuk awareness kita membahasnya dengan tenaga ahli. Jadi dalam upaya promosi memang kita nggak boleh berhenti ya,"" ucap Ira saat ditemui acara Hari Kanker Anak #BeraniGundul 2024 di Jakarta Selatan, Minggu (3/3/2024). SCROLL TO CONTINUE WITH CONTENT ""Tentunya preventif juga kita nggak boleh berhenti. Kalau nggak, entar kita cuman nungguin orang sakit datang ke kita. Perlu mengetahui gejala-gejalanya juga,"" tambahnya. Salah satu peserta aksi #BeraniGundul, Aang (38) menuturkan bahwa acara yang dilaksanakan sangat baik. Ia mengatakan bahwa langkah ini penting untuk membuat masyarakat secara lebih luas mengetahui bahaya dan risiko kanker anak. ""Jadi ini acaranya emang bagus banget ya. Begitu saya ketemu acaranya saya langsung tertarik buat ikutan. Dulu juga sempat ikutan support juga,"" kata Aang ketika ditemui detikcom. ""Harapannya tetap semangat, supporting groupnya juga sehat. Terus lingkungannya juga semoga bisa tetap mendukung. Bahasanya harus difasilitasi terus pokoknya,"" pungkasnya. Aksi #BeraniGundul bisa diikuti dengan berdonasi Rp 50.001. Tak hanya #BeraniGundul, cara ini juga dimeriahkan dengan konser musik, demo masak, talkshow, hingga penampilan dance dari anak-anak YKAKI. ",Health
"Alasan Ortu Harus Temani Anak Berenang, Nggak Cuma Nungguin di Pinggir Kolam","Minggu, 03 Mar 2024 12:28 WIB",https://health.detik.com/kebugaran/d-7222754/alasan-ortu-harus-temani-anak-berenang-nggak-cuma-nungguin-di-pinggir-kolam,"Sebagai orang tua, penting untuk selalu mendampingi sang anak ketika berenang. Mereka harus ikut masuk ke dalam kolam renang untuk memastikan kondisi sang anak dalam keadaan baik ketika berenang. Jillian Prawiro, Co-founder, dan Head of Program Quality (Babies) sekaligus instruktur renang Aquababies Indonesia menyoroti saat ini tidak sedikit orang tua yang ketika mengajak anak berenang, hanya menunggu di pinggir kolam saja. Ada juga yang mempercayakan sepenuhnya kepada pengasuh yang terkadang bisa berujung fatal. ""Terkadang orang tua kalau ngajak anak ke kolam renang itu cuma mau ngajak, kasih pelampung, terus ya udah diliatin aja. Biasanya yang paling bahaya itu karena mereka cuma suruh susternya,"" katanya saat berbincang dengan detikcom, Jumat (1/3/2024). SCROLL TO CONTINUE WITH CONTENT Hal berbahaya lainnya dan terkadang dilakukan orang tua adalah mempercayakan keselamatan anak kepada pelampung. Padahal pelampung tak bisa menjamin dengan pasti keselamatan anak saat di kolam renang. Saat berenang bersama anak, orang tua juga bisa lebih mengawasi buah hatinya. Selain itu berenang bersama juga memperkuat ikatan atau bonding antara keduanya. ""Kita selalu bilang harus parents ya, nggak bisa nanny, karena pasti orang tuanyanya bakal lebih tahu juga dan pas lebih sigap gitu (jika terjadi emergency), itu sudah pasti,"" tandasnya. ",Health
Obesitas Anak di DKI Tembus 34 Persen! Bogor-Depok Juga 'Dihantui' Kenaikan Kasus,"Minggu, 03 Mar 2024 11:15 WIB",https://health.detik.com/berita-detikhealth/d-7222650/obesitas-anak-di-dki-tembus-34-persen-bogor-depok-juga-dihantui-kenaikan-kasus,"Berat badan berlebih atau obesitas bisa memicu risiko penyakit jantung, diabetes, hingga stroke. Pemerintah melaporkan angka obesitas di Indonesia saat ini bahkan berkisar 30 persen dari populasi. Pemicunya tidak lepas dari perubahan pola hidup masyarakat atau terkait sedentary lifestyle seperti minim aktivitas gerak dan olahraga, sampai pola makan tidak sehat. Menurut riset Kemenkes RI di sejumlah wilayah penyangga DKI Jakarta, angka obesitas juga meningkat. ""Seperti Tangerang, Bogor, Depok, itu angka obesitasnya meningkat,"" tutur Wakil Menteri Kesehatan Dante Saksono Harbuwono saat ditemui detikcom di Gedung Kemenkes RI, Rasuna Said, Minggu (3/2/2024). SCROLL TO CONTINUE WITH CONTENT ""Angka obesitas itu meningkat sekarang hampir di 30 persen dari populasi, dan 30 persen populasi yang obesitas ini berisiko untuk menyumbangkan penyakit-penyakit katastropik, atau penyakit-penyakit yang akan berlanjut pada komplikasi seperti hipertensi, diabetes, kelainan jantung, stroke,"" lanjutnya. Sayangnya, obesitas di Indonesia dilaporkan semakin marak terjadi pada usia muda, bahkan anak-anak. Meski kelompok terbanyak yang mengidap obesitas adalah di 40 tahunan, tidak sedikit pasien dengan usia 20 tahun sudah membutuhkan perawatan lebih lanjut terkait kondisi ini. Otomatis, sulit untuk mencapai generasi emas 2045 bila fenomena obesitas di kelompok muda terus berlanjut. 34 Persen Anak di DKI Kena Obesitas ""Penelitian dari RSCM untuk anak-anak sekolah juga sudah mulai mengalami peningkatan obesitas, di anak-anak DKI Jakarta yang mengalami obesitas itu sekitar 34 persen,"" tutur Dante. Pemerintah mengimbau setiap keluarga untuk mulai menciptakan kebiasaan pola hidup sehat dalam keluarga. Seperti aktivitas olahraga, minimal 5 hari dalam seminggu bila mengacu pada pedoman Organisasi Kesehatan Dunia (WHO). Kemenkes RI juga mendesak penetapan cukai pada sejumlah makanan dengan kadar gula hingga lemak berlebih. Saat ini, naskah akademik tengah disusun dan dalam pengkajian bersama Kementerian Keuangan. ""Kita sudah mengatur upaya untuk mencantumkan label kalori lemak gula yang ada di dalam kemasan makanan, kita sedang mengupayakan untuk memberikan cukai lebih bagi makanan yang mengandung kadar gula lebih, lemaknya lebih serta garamnya lebih, kalau cukai ini bisa dilakukan, maka diharapkan masyarakat akan lebih memilih makanan sehat,"" terang dia.   ",Health
