Judul,Tanggal,Url,Artikel,Category
"Bukan Marquez, Jorge Lorenzo Jagokan Pecco Bagnaia di MotoGP 2024","Minggu, 03 Mar 2024 20:16 WIB",https://oto.detik.com/otosport/d-7223147/bukan-marquez-jorge-lorenzo-jagokan-pecco-bagnaia-di-motogp-2024,"Musim balap MotoGP 2024 segera dimulai. Nama Marc Marquez jadi sorotan sebab ini musim pertamanya menunggangi Ducati. Namun bagi legenda MotoGP, Jorge Lorenzo, Marc Marquez bukan pebalap andalannya di musim ini. Lorenzo lebih menjagokan Francesco 'Pecco' Bagnaia untuk meraih titel juara MotoGP 2024. Menurutnya, pebalap andalan tim pabrikan Ducati ini punya berbagai hal untuk menaklukkan seluruh seri di musim ini. ""Saya pikir Pecco adalah tipe pembalap yang seperti robot,"" ujar Lorenzo dilansir dari Crash. SCROLL TO CONTINUE WITH CONTENT ""Dia mirip dengan saya dulu. Dia membutuhkan segalanya berjalan sempurna untuk merasa kuat dan kemudian dia tidak terkalahkan,"" lanjutnya. Menurut Lorenzo, Pecco Bagnaia mendapat angin segar serta kepercayaan diri lebih dari dua titel berturut-turut yang diraihnya pada musim 2022 dan 2023 lalu. ""Dia mengenal motornya dengan sempurna karena dia sudah lima tahun menggunakan motor yang sama. Dia melakukan evolusi dalam dua tahun terakhir di (motor) Ducati baru, jadi Ducati mengambil pengetahuannya untuk membangun motor dengan gaya berkendaranya dan ini sangat penting,"" ujar Lorenzo. Lorenzo punya 'petuah' yang sekiranya dapat membuat Pecco tampil cemerlang musim ini. Menurut Lorenzo, Pecco harus merasa bahwa dia diperlukan oleh tim dan sedang dalam kondisi yang sempurna untuk bertarung. Hal tersebut diklaim oleh Lorenzo dapat membuat rival merasa bahwa dia masih yang terbaik. Juara dunia MotoGP tiga kali ini juga sempat menyinggung nama Enea Bastianini, Jorge Martin, dan Marc Marquez. Namun ia yakin bahwa Pecco Bagnaia yang terbaik. ""Kita sudah melihat Jorge Martin meraih pole position dan mengawali balapan dengan baik, kita bisa melihat Marc Marquez yang akan selalu berusaha menjadi yang terdepan karena dia seperti anjing bulldog,"" papar Lorenzo. ""Dan yang pasti Bastianini merasa lebih baik dengan motor barunya, motor 2024 ini. Tapi saya yakin Pecco adalah favorit,"" tegasnya. ",Oto
"Tren Elektrifikasi Kendaraan Meningkat, SDM Pabrik Dalam Negeri Sudah Siap?","Minggu, 03 Mar 2024 18:15 WIB",https://oto.detik.com/mobil/d-7223144/tren-elektrifikasi-kendaraan-meningkat-sdm-pabrik-dalam-negeri-sudah-siap,"Indonesia sejak lama terkenal sebagai pembuat mobil berstandar global. Namun seiring tren elektrifikasi kendaraan yang meningkat, siapkah anak bangsa untuk membuat mobil di kelas ini? Salah satu pabrikan yang sudah membuat kendaraan elektrifikasi dengan mengandalkan sumber daya manusia (SDM) hingga tingkat komponen dalam negeri yang tinggi adalah Toyota Motor Manufacturing Indonesia (TMMIN). Pabrikan asal Jepang ini sudah membuat lini Toyota Kijang Innova Zenix Hybrid dan Toyota Yaris Cross Hybrid di Karawang. Hal ini menunjukkan keseriusan mereka dalam transisi industri otomotif dan menunjukkan pula kesiapan anak bangsa dalam membuat mobil elektrifikasi. SCROLL TO CONTINUE WITH CONTENT ""Untuk memperkenalkan transisi mobil konvensional ke mobil hybrid, TMMIN memiliki fasilitas xEV Center sebagai pusat pembelajaran atau publik advokasi teknologi kendaraan elektrifikasi. Kedua ada tempat pelatihan xEV battery. Dan di TIA (Toyota Indonesia Academy) saat ini kurikulumnya sudah menyesuaikan dengan varian teknologi kendaraan produksi TMMIN yang semakin beragam dengan teknologi tinggi,"" buka Wakil Direktur Utama TMMIN, Bob Azam kepada detikOto. ""Tentunya SDM TMMIN sudah siap menyambut era elektrifikasi, dengan berhasil memproduksi secara lokal dan mengirimkan secara perdana kendaraan berteknologi hybrid yaitu Kijang Innova Zenix dan Yaris Cross yang diterima dengan baik oleh konsumen dalam negeri hingga internasional,"" lanjutnya. Tak hanya karyawan internal mereka, TMMIN juga sadar bahwa dalam pembuatan sebuah mobil mereka butuh bantuan SDM dari rantai pasok. Sehingga mereka turut mengembangkan SDM di level tersebut. ""TMMIN sudah berdiri sejak tahun 1971, artinya selama lebih dari 5 dekade TMMIN menjadi bagian dari perkembangan industri otomotif nasional serta tumbuh dan berkembang bersama masyarakat Indonesia. Kami memberikan dukungan bagi pengembangan industri otomotif nasional hingga pasar global melalui peningkatan kapabilitas SDM, rantai pasok, bahkan UMKM bangsa,"" ujar Bob. Dalam proses perjalanan panjang TMMIN, salah satu cerita yang menurut Bob Azam paling inspiratif adalah bagaimana UMKM yang mereka kembangkan dari mulai tidak paham akan prosedur keselamatan produksi, hingga mampu mendukung produksi mobil elektrifikasi. ""Bahwa dalam proses pengembangan UMKM kami melihat proses awal saat pekerja UMKM masih berangkat bekerja menggunakan sendal tidak menggunakan alat safety dan setelah melalui proses pengembangan, bimbingan serta keinginan yang kuat dari UMKM untuk meningkatkan kemampuan mereka, akhirnya dari sebuah tempat kerja gedung sederhana bisa men-support ekspor Kijang Innova Zenix Hybrid yang sudah diterima dengan baik hingga ke mancanegara,"" tutur Bob. Perlu diketahui, mobil elektrifikasi bikinan anak bangsa seperti Kijang Innova Zenix Hybrid dan Yaris Cross Hybrid tak hanya bisa dinikmati oleh masyarakat Indonesia melainkan laris manis diekspor ke mancanegara. ",Oto
"Detik-detik Honda Accord Hybrid Dites Tabrak, Begini Hasilnya","Minggu, 03 Mar 2024 17:02 WIB",https://oto.detik.com/mobil/d-7223139/detik-detik-honda-accord-hybrid-dites-tabrak-begini-hasilnya,"ASEAN New Car Assessment Program (NCAP) menguji tabrak All New Honda Accord RS e:HEV. Begini hasil uji tabrak Honda Accord hybrid terbaru. ASEAN NCAP mengganjar All New Honda Accord RS e:HEV dengan penilaian lima bintang dalam uji tabrak ini. Artinya, keamanan mobil ini terbilang baik ketika terjadi kecelakaan. All New Honda Accord RS e:HEV meraih skor keseluruhan 87,44 dari 100 (skor total 105,65/120). Penilaian ini meliputi uji tabrak depan, uji tabrak samping, dan pengujian fitur keselamatannya. SCROLL TO CONTINUE WITH CONTENT All New Honda Accord RS e:HEV meraih skor untuk Perlindungan Penumpang Dewasa (AOP) yang mengesankan yaitu 30,90/32. Kemudian skor 45,25/51 untuk Perlindungan Penumpang Anak (COP), dan skor 19,50/21 untuk Teknologi Bantuan Keselamatan (SAT), dan skor 10/16 untuk Keselamatan Pengendara Sepeda Motor (MS). Honda Accord generasi ke-11 ini dilengkapi dengan Honda SENSING, sistem bantuan berkendara canggih milik Honda. Sistem ini mengintegrasikan kamera sensor depan baru dan radar gelombang milimeter untuk memberikan kesadaran yang lebih baik terhadap kondisi berkendara di sekitar kendaraan dengan mendeteksi mobil, sepeda motor, dan pejalan kaki secara efektif. Ini memberikan peringatan dan mendukung pengemudi dalam menghindari atau mengurangi parahnya tabrakan. All New Honda Accord RS e:HEV juga dilengkapi dengan berbagai fitur keselamatan canggih seperti Multi-view Camera System, Active Cornering Light, Motion Management System, 8 Airbags, Driver Attention Monitor, Parking Sensor System, serta Front Passenger and Rear Seat Belt Reminder. Uji tabrak yang dilakukan merupakan bentuk kolaborasi antara ASEAN NCAP dan Japan Automobile Research Institute (JARI). Secara umum, pengujian harus dilakukan setelah produksi massal model dimulai. ""Honda akan terus menyediakan kendaraan yang aman dan andal serta memimpin upaya untuk mewujudkan masyarakat yang bebas kecelakaan lalu lintas yang melibatkan sepeda motor dan mobil Honda secara global pada tahun 2050,"" sebut Honda dalam siaran persnya.  [Gambas:Youtube]  ",Oto
"Jangan Panik! Kendaraan Rusak Kena Pohon Tumbang, Bisa Dapat Ganti Rugi","Minggu, 03 Mar 2024 16:11 WIB",https://oto.detik.com/berita/d-7223052/jangan-panik-kendaraan-rusak-kena-pohon-tumbang-bisa-dapat-ganti-rugi,"Pohon tumbang kerap kali mengarah ke jalan raya dan membuat kerusakan pada kendaraan yang melintas atau parkir. Bagi pemilik kendaraan yang rusak akibat pohon tumbang di jalan umum tidak perlu panik, sebab pemerintah bekerja sama dengan asuransi untuk memberikan ganti rugi kepada korban. Dinas Pertamanan dan Pemakaman Pemerintah Provinsi Daerah Khusus Ibukota (DKI) Jakarta menyebutkan masyarakat yang terkena pohon tumbang dapat meminta santunan atau mengklaim biaya ganti rugi. SCROLL TO CONTINUE WITH CONTENT Objek yang dapat diajukan untuk ganti rugi tak hanya kendaraan, namun juga bangunan, korban luka, hingga korban jiwa meninggal. Masyarakat yang terdampak kerusakan akibat pohon tumbang dapat mengisi formulir secara online di laman resmi Dinas Pertamanan dan Hutan Kota Provinsi DKI Jakarta. Dilansir dari laman distamhut.jakarta.go.id, untuk mendapatkan ganti rugi atau klaim rusak, masyarakat yang terdampak harus menyiapkan surat permohonan yang ditujukan ke Dinas (Pertamanan dan Hutan Kota Provinsi DKI Jakarta). Selain itu, siapkan juga dokumentasi kejadian, dan surat keterangan kepolisian, hingga surat rekomendasi dari suku dinas kota. Korban juga harus menyiapkan dokumen salinan atau fotokopi STNK, BPKB Kendaraan, SIM, hingga KTP Pemilik Kendaraan. Bagi korban yang diwakilkan, siapkan pula surat kuasa pemohon bermaterai serta salinan KTP pemohon. Kendaraan yang dapat diklaim dan mendapatkan ganti rugi akibat terkena pohon tumbang merupakan kendaraan yang tidak diasuransikan. Sehingga korban harus membuat surat pernyataan kendaraan tidak diasuransikan bermaterai untuk mengajukan klaim. Terakhir, korban harus menyiapkan invoice atau estimasi dari bengkel resmi kendaraan terkait dan mengisi form klaim santunan. ""Selanjutnya Kepala Dinas menerima dan memproses ke bagian yang memverifikasi data klaim (Seksi Kerja sama dan Kemitraan),"" tulis Dinas Pertamanan dan Permakanan Pemerinta Provinsi DKI Jakarta di laman resminya. Setelah permohonan diterima, pihak asuransi akan mengecek dana dan menghubungi korban untuk memberitahukan keputusan terkait santunan atau klaim yang akan diberikan. Selain itu, pihak asuransi juga akan memberikan informasi mengenai jadwal penyantunan jika klaim diterima. ""Pihak yang mengajukan permohonan santunan (klaim) diberikan santunan oleh pihak ASURANSI yang bekerja sama dengan Dinas Pertamanan dan Pemakanan,"" tutup mereka. ",Oto
"Viral Ban 'Bugatti' Patah di Depok, Jangan Kaget Lihat Biaya Servis Bugatti Asli","Minggu, 03 Mar 2024 15:10 WIB",https://oto.detik.com/mobil/d-7222947/viral-ban-bugatti-patah-di-depok-jangan-kaget-lihat-biaya-servis-bugatti-asli,"Di media sosial viral mobil sport mengalami masalah di jalanan Depok. Mobil itu tampak seperti hypercar Bugatti. 'Bugatti' di Depok itu mengalami kendala pada ban depan kanan. Ban depan pada sisi kanan mobil tampak bengkok. Kasat Lantas Polres Metro Depok, Kompol Multazam Lisendra membenarkan adanya peristiwa tersebut. Multazam mengatakan mobil itu tak mengalami kecelakaan namun berhenti lantaran bannya patah akibat kendala teknis. ""Bannya patah. Kendala teknis,"" kata Kompol Multazam dikutip detikNews. SCROLL TO CONTINUE WITH CONTENT Menurut Presiden Direktur importir mobil mewah Prestige Image Motorcars Rudy Salim yang sempat memperkenalkan Bugatti Veyron di Indonesia beberapa waktu lalu, mobil yang mengalami kendala di Depok itu adalah replika Bugatti. Dia meyakini mobil itu bukan hypercar Bugatti asli. ""Paling mudah dari kaki-kaki kelihatan, rem dan disc brake salah. Desain proporsi pillar A enggak sesuai, garis utama 'C shape' juga berantakan. C shape area pintu untuk Chiron sangat khas,"" jelas Rudy kepada detikOto, Minggu (3/3/2024). ""Dari rem dan disc brake aja udah ngawur jauh. Harusnya besar sekali disc brake-nya. Disc brake depan (berdiameter) 42 cm, disc brake belakang 40 cm,"" sambung Rudy. Untuk diketahui, salah satu hypercar Bugatti, Chiron, merupakan hypercar yang harganya fantastis. Di Singapura di mana terdapat official dealer partner Bugatti di Asia Tenggara, Bugatti Chiron Pur Sport dibanderol S$ 5 juta atau setara Rp 53 miliar! Kalau masuk Indonesia Bugatti Chiron diperkirakan bisa tembus Rp 90 miliar. Biaya servis mobil ini pun tak main-main. Pria asal Malaysia, Muhammad Al Qawi Zamani, mengunjungi Bugatti Singapura dan mendapatkan beberapa detail biaya servis Bugatti Chiron Pur Sport. Dikutip dari Facebook-nya, Qawi membeberkan biaya servis Bugatti Chiron Pur Sport 2021. Disebutkan, servis mobil Bugatti dilakukan oleh tim kecil yang terdiri dari 10 personel. Servis mobil Bugatti membutuhkan waktu pekerjaan antara 24-27 jam. Detailnya, servis ganti oli termasuk filter oli, cairan pendingin, yang dilakukan setiap 14 bulan atau 16.000 km membutuhkan biaya sebesar 104.613 ringgit atau setara Rp 346 jutaan. Lebih lanjut, Qawi merinci harga satu set rem depan yang terdiri dari rotor keramik karbon ukuran 420 mm seharga 209.230 ringgit atau setara Rp 692 juta. Untuk satu set kampas rem depan harganya mencapai 37.661 ringgit atau Rp 124 juta. Bugatti Chiron Pur Sport juga harus diganti ban setiap 16-18 bulan, bisa lebih cepat jika mobil sering digunakan. Ada beberapa pilihan ban untuk Bugatti Chiron Pur Sport ini, antara lain Pirelli Winter Sottozero 3/Michelin Pilot Sport PAX untuk kenyamanan dan kecepatan tinggi seharga 33.476 ringgit (Rp 110 juta), juga ada ban Michelin Pilot Sport Cup 2R TR untuk traksi maksimal dan kecepatan tinggi yang memiliki harga 175.749 ringgit (Rp 581 juta). Komponen yang harus diganti setiap 42-48 bulan antara lain air duct coolers seharga 92.059 ringgit (Rp 304 juta), perangkat turbo Garret seharga 108.797 ringgit (Rp 359 juta), serta tangki bahan bakar seharga 184.118 ringgit (Rp 609 juta). Secara keseluruhan, biaya perawatan Bugatti Chiron Pur Sport dengan total kepemilikan 4 tahun mencapai 1,612 juta ringgit atau setara Rp 5,3 miliar! Itu pun belum termasuk pajak, ongkos jasa, biaya janji pertemuan, dan biaya perjalanan. ",Oto
"Pebalap Cilik Berprestasi di Balap Gokart, Gimana Sekolahnya?","Minggu, 03 Mar 2024 14:39 WIB",https://oto.detik.com/otosport/d-7222916/pebalap-cilik-berprestasi-di-balap-gokart-gimana-sekolahnya,"Pebalap cilik Alericrizky Azkasyah Prawira Mahawijaya punya mimpi untuk mengikuti jejak idolanya di Formula 1. Aleric yang kini berusia 11 tahun tengah bergegas di musim balap gokart 2024. Aleric sukses meraih hasil baik di Ronde 1 Gokart Eshark Rok Cup 2024. Kini, Aleric sedang bersiap menatap Ronde 2 yang akan digelar pada 9-10 Maret di Sentul International Karting Circuit (SIKC). Di Ronde 1 kemarin, pegokart yang berusia 11 tahun ini berhasil naik podium 3 di Mini Rok Newbie dan podium 5 di Mini Rok Final B. Tahun ini, Aleric bernaung di tim baru DnA Racing Corporation. SCROLL TO CONTINUE WITH CONTENT Di tim baru DnA Racing, Aleric meningkat skill balap sekaligus meraih prestasi lebih baik. Pebalap cilik yang mengidolakan pebalap F1 Charles Leclerc ini punya mimpi tinggi dapat mengikuti jejak sang idola. Aleric menekuni balap gokart sejak tahun lalu. Pebalap cilik ini berkali-kali naik podium di kejurnas gokart. Kesuksesannya tak lepas dari dukungan berbagai pihak. Salah satunya support dari sekolah. Sebagai pembalap cilik, jadwal latihan dan balapan Aleric lumayan intens sehingga dukungan sekolah sangat strategis. Saat ini Aleric adalah siswa kelas 6 SD Global Islamic School 2 Serpong, Tangerang. Kepala Sekolah SD Global Islamic School 2 Serpong Supriyanto mengatakan, pihaknya terus memberikan dukungan penuh kepada Aleric yang menekuni kegiatan balap gokart di luar kegiatan sekolah. Dukungan dari sekolah itu berupa pemberian bantuan perizinan seperti dispensasi yang dibutuhkan Aleric. Pihak sekolah mendorong setiap siswanya mengikuti lomba-lomba untuk meraih prestasi sambil belajar soft skill di luar sekolah. ""Sekolah kami adopsi teori multiple intelligence multiple. Kami perlakukan anak-anak istimewa, sebab setiap anak unik, punya kecerdasan masing-masing, bukan melulu hal akademis. Jadi kami berikan kesempatan kepada anak-anak berkembang sesuai minat atau bakatnya. Ada yang punya kompetisi di olahraga, kami bantu, arahkan, karena ada lomba-lomba antarsekolah atau dinas, kami dorong ke sana. Ada juga lomba di luar jadwal tersebut, di luar sekolah, seperti balap gokart. Maka kami berikan fasilitas perizinan sehingga tidak ganggu pelajaran dan sebagainya,"" ujar Supriyanto dalam keterangan tertulis. ""Kalau kami lihat dari hasil berita-berita yang diterima, dan update hasil lomba, kelihatannya anak ini semangatnya luar biasa, punya daya juang dan berprestasi juga. Pada musim balap tahun lalu, Aleric memang beberapa kali meraih podium di kelas entry level Kejurnas Gokarts Eshark Rok Cup 2023,"" ujarnya. Supriyanto menegaskan perlunya sinergi positif antara sekolah dan orang tua untuk mendukung tumbuh kembang si anak. ""Kami mendoakan Aleric mampu wujudkan ambisi, cita-citanya, sukses, dan tampil di F1. Menjadi kebanggaan kedua orang tua dan sekolah sebagai alumnus SD Global Islamic,"" pungkas dia sambil mengingatkan Aleric tidak meninggalkan kebiasaan yang diajarkan di sekolah selama balapan. Aleric kini fokus menghadapi Ronde 2 Kejurnas Gokart Eshark Rok Cup 2024. Ayahanda Aleric, Anton Prawira Hadi Wijaya, sedang menemani sang anak latihan intens untuk menghadapi ronde 2 Kejurnas Gokart pada pekan depan (9-10 Maret). Anton tidak menyangka anaknya bisa menuntaskan balapan dengan hasil gemilang di Ronde 1 Kejurnas Gokart Eshark Rok Cup 2024. Padahal, target awalnya cukup finis dengan mulus tanpa insiden. ""Kalau boleh disebutkan, target Aleric cuma finish. Alhamdulillah di Final B kelas Mini Rok bisa dapat podium 5,"" jelas Anton. ",Oto
"Harga Mobil Listrik Baru Lebih Murah, Calon Pembeli Mobil Bekas Putar Arah","Minggu, 03 Mar 2024 14:02 WIB",https://oto.detik.com/mobil/d-7222853/harga-mobil-listrik-baru-lebih-murah-calon-pembeli-mobil-bekas-putar-arah,"Mobil listrik tengah memanaskan pasar otomotif Indonesia. Teknologi baru, ramah lingkungan, hingga ringannya pajak membuat masyarakat perlahan beralih ke kendaraan ini. Di balik gegap-gempita mobil listrik ada segmen kendaraan yang berimbas, yakni mobil bekas. Hal ini diklaim karena mobil listrik datang dengan harga jual yang rendah akibat dapat keringanan pajak dari pemerintah. Pemilik dealer mobil bekas Focus Motor, Agus Focus, menganalisa tren penurunan penjualan mobil bekas salah satunya berasal dari kehadiran mobil listrik yang harganya murah. Masyarakat beralih ke mobil listrik baru, ketimbang mobil bekas dengan harga yang setara. SCROLL TO CONTINUE WITH CONTENT ""Tapi kemungkinan, ini analisa saya, analisa ya, kayaknya (penurunan penjualan) di mobil (bekas) ini gara-garanya pengaruh mobil listrik juga di otomotif ini,"" papar Agus kepada detikcom pada Jumat (1/3/24) lalu. Agus memberi ilustrasi, saat ini salah satu pabrikan asal China menginvasi pasar dengan mobil listrik yang harganya terjangkau, namun dengan segudang kecanggihan hingga performa yang memukau. ""Mobil listrik ini termasuk yang digalakin pemerintah, kan? Pemerintah Indonesia ini sangat mendukung mobil baterai nih, lalu banyak lah masuk dengan harga yang beragam,"" papar Agus. Sebagai contoh, menurutnya, BYD Seal hadir dengan harga Rp 700 jutaan namun dengan spek yang bahkan mampu menyaingi mobil listrik Hyundai IONIQ 6 yang harga jualnya tembus di atas Rp 1 miliar. Hal tersebut yang membuat calon pembeli mobil bekas di rentang harga Rp 700 jutaan berpikir ulang dan cenderung memilih mobil listrik. ""Terus apa kabarnya mobil-mobil seken yang harganya Rp 700 an. Kan pengaruh kan?"" tegas Agus. ""Ya mungkin industri mobil listrik yang baru masuk, industri gajah-gajah yang dari luar, mungkin mereka mengalami jualan. Tapi kita, yang dagang-dagang mobil bekas, mobil-mobil bensin pasti mengalami kuenya porsinya dibagi jadinya,"" papar Agus. Agus menyadari bahwa kehadiran mobil listrik ini membuat peta persaingan semakin bertambah. Sehingga mereka turut menjual mobil listrik dalam status bekas. ""Di mobil bekasnya kita jual, kalau yang harga-harga di bawah Rp 800 juta lah ya kayak IONIQ 5 itu jalan. Tapi kalau kayak IONIQ 6, bekasnya juga kurang jalan,"" ujarnya. ",Oto
Rahasia Mobil Buatan Indonesia Bisa Dicap Baik di Seluruh Dunia,"Minggu, 03 Mar 2024 13:17 WIB",https://oto.detik.com/mobil/d-7222803/rahasia-mobil-buatan-indonesia-bisa-dicap-baik-di-seluruh-dunia,"Pada 2023 lalu, lebih dari setengah juta mobil buatan Indonesia diekspor ke banyak negara di dunia. Banyak faktor yang membuat mobil buatan anak bangsa ini bisa diterima dengan baik secara global, salah satunya karena sumber daya manusianya. Bob Azam selaku Wakil Direktur Utama Toyota Motor Manufacturing Indonesia (TMMIN) menjelaskan bahwa mobil Toyota buatan Indonesia sudah diekspor ke lebih dari 80 negara di kawasan Asia Pasifik, Amerika Latin, Afrika, dan Timur Tengah. Ketertarikan pasar dunia terhadap mobil Toyota buatan Indonesia salah satunya berasal dari kualitas produk. Menurut Bob Azam, hal tersebut berasal dari kualitas manusia pembuatnya. SCROLL TO CONTINUE WITH CONTENT ""We make people before we make product (kami 'membuat orang' sebelum membuat produk) merupakan filosofi Toyota Indonesia yang lahir dari nilai Respect for People (menghormati orang) untuk menciptakan dan mengembangkan Sumber Daya Manusia (SDM) yang berkualitas, unggul, dan inovatif. TMMIN berusaha menanamkan semangat untuk mencapai sesuatu yang lebih baik,"" papar Bob kepada detikcom. ""Peningkatan kualitas SDM industri nasional menjadi fokus TMMIN khususnya saat memasuki era elektrifikasi yang semakin kompetitif. Kami meyakini bahwa SDM merupakan elemen dan aset terpenting dalam mewujudkan produk-produk terbaik. Kami percaya bahwa produk terbaik tercipta dari orang-orang yang terbaik.  Per Desember 2023 kemarin, jumlah karyawan TMMIN lebih dari 8.300 orang. Namun menariknya, TMMIN mengklaim juga turut mengembangkan SDM di level rantai pasok, akademisi, hingga masyarakat. Saat ditanya mengenai strategi apa yang mereka lakukan agak mobil produksi Indonesia diterima dengan baik di dunia, Bob menjawab mereka dapat menyesuaikan kebutuhan konsumen yang beragam. Selain itu, TMMIN juga berstrategi untuk memproduksi kendaraan produk teknologi tinggi yang sesuai dengan kualitas global. ""Toyota Indonesia percaya harus ada solusi praktis dan berkelanjutan dengan menggabungkan berbagai pilihan dan teknologi seperti LCGC, flexy engine, HEV, PHEV, BEV, hingga hidrogen yang pada akhirnya menyesuaikan kebutuhan konsumen yang beragam. Strategi yang kami lakukan adalah dengan memproduksi kendaraan produk teknologi tinggi yang berkualitas global melalui tangan tangan expert anak bangsa,"" papar Bob. Di tengah gempuran kendaraan elektrifikasi pun, TMMIN siap untuk membuat produk kendaraan elektrifikasi yang sesuai dengan standar global. Hal ini dikarenakan SDM yang mereka punya terus dikembangkan dan diturunkan ilmunya ke generasi selanjutnya. ""Upaya pengembangan kualitas SDM harus dilakukan secara terus menerus, agar peningkatan dan proses transfer teknologi bisa berjalan. Sehingga Indonesia memiliki generasi muda yang ahli dan terampil dalam menghadapi tantangan era elektrifikasi. SDM kompeten dan bersertifikat, khususnya yang memiliki kemahiran spesifik di bidang teknologi elektrifikasi dengan porsi pembelajaran praktik lebih besar, diharapkan lebih siap menjawab tantangan berbagai sektor industri, termasuk di industri otomotif nasional,"" tutup Bob.  ",Oto
Seberapa Untung Jual Sparepart di Dealer?,"Minggu, 03 Mar 2024 12:35 WIB",https://oto.detik.com/mobil/d-7222758/seberapa-untung-jual-sparepart-di-dealer,"Bicara industri otomotif pasti yang menarik yang dibicarakan adalah model terbaru dari satu brand, atau berapa banyak yang terpesan dari model tertentu. Tapi detikers tahu tidak? Rupanya di industri otomotif jualan sparepart lah yang tidak pernah mengalami kerugian. Seperti yang disampaikan Spare Parts Dept. Head PT Suzuki Indomobil Sales (SIS), Christiana Yuwantie beberapa waktu lalu. Perempuan tangguh ini menyatakan industri sparepart-lah yang tidak pernah mengalami kerugian, meski dirinya enggan membocorkan berapa nilai transaksi dari penjualan spareparts. ""Keuntungan jualan sparepart berapa? Lumayanlah, yang pasti menggiurkan,"" jawab Christiana sambil tersenyum. SCROLL TO CONTINUE WITH CONTENT Meski tidak membocorkan berapa nilai transaksinya, Christiana hanya memastikan kerja sama dengan Suzuki pasti menguntungkan. ""Pokoknya intinya profit kita bersaing dengan merek lain, buat dealer pasti merasakan profit yang oke dari Suzuki, dan konsumen akan teruntungkan karena harga eceran di dealer kita itu sama dan tidak akan menjual lebih dari itu (lebih mahal),"" ujar Christiana. ""Berapa pertumbuhan penjualan sparparts setiap tahunnya? Satu-satunya bisnis dan ini sepertinya berlaku untuk semua merek yang tidak pernah turun penjualannya adalah penjualan sparepart. Rata-rata 5-10 persen tumbuh setiap tahunnya, kecuali pandemi kemarin, karena orang yang mau beli menahan. Itu cuma hanya setengah tahun saja,"" Christiana. Bagaimana detikers, tertarik untuk membuka dealer mobil? ",Oto
"Harga Mobil Bekas Lagi Turun, Momen Tepat Buat Ganti Mobil","Minggu, 03 Mar 2024 12:04 WIB",https://oto.detik.com/mobil/d-7222700/harga-mobil-bekas-lagi-turun-momen-tepat-buat-ganti-mobil,"Tren penjualan mobil bekas tengah mengalami penurunan. Hal ini menyebabkan harga jual mobil bekas di pasaran pun ikut menurun. Salah satu dealer mobil bekas di DKI Jakarta, Focus Motor, mengungkapkan tren penjualan mobil bekas menurun sejak kuartal kedua tahun 2023 lalu. ""Mobil bekas ini lagi ada dampak penurunan dari bulan 5 (Mei) tahun 2023. Sampai sekarang,"" tutur Agus Focus, pemilik Focus Motor kepada detikcom pada Jumat (1/3/24). SCROLL TO CONTINUE WITH CONTENT ""Terus dari Desember (2023) ke Februari (2024) itu harga koreksinya gila-gilaan. Harga mobil turun di mobil bekas,"" lanjutnya. Menurut Agus, grafik penjualan mobil bekas di dealernya mengalami penurunan 20% hingga 30% dari normal. Kali terakhir mereka mengalami penjualan normal adalah pada April 2023 lalu. Lantas makin ke sini, tren penjualan mobil bekas cenderung fluktuatif namun belum mengarah ke normal. ""Yang kita bahas, dari April (2023) masih oke ya. Lalu Mei (2023) mulai buruk, terus memburuk sampai Oktober 2023 kalau tidak salah. November udah mulai better, Desember udah mulai better (tapi) turun lagi dari yang November. Januari better. Februari ini belum tahu nih, kayanya Februari terakhir closing-an oke lah. Tapi sama kayak Januari lah mirip,"" ujar Agus. Segmen yang menjadi 'penyelamat' pasar mobil bekas adalah mobil dengan harga kisaran Rp 600 juta ke bawah. Untuk mobil dengan harga jual di atas Rp 600 juta atau kelas mobil sport, merupakan segmen yang paling terdampak. ""Yang sekarang nyelamatin (kita) mobil kecil atau mobil-mobil umum ya kita bilangnya. Seperti Innova, CR-V, ini contoh-contoh ya, Avanza, Xenia, terus Pajero, Fortuner,"" ujar Agus. ""Mobil sport selain turun, daya belinya nggak ada. Udah diturunin (harganya) ya, tetap aja nggak laku-laku. Koreksi harganya gila-gilaan, bisa 30%. Bisa modalnya Rp 4,7 miliar, jualnya Rp 3,6 miliar,"" klaimnya. Turunnya harga jual mobil bekas di pasaran ini jadi momentum yang tepat bagi masyarakat untuk membeli mobil bekas. ""Ya kalau lagi mau beli saatnya sekarang. Lagi murah. Lagi dikoreksi,"" tutup Agus. ",Oto
